name,title,type,number,credit,days,startTime,endTime,instructor,hasLab,room,link,major
ARS205,Foundations: Idea and Form,LAB,90,3,MF,9:00,11:50,Rachel Stuckey,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/ars/,ETC
ARS225,Introduction to Digital Art,LEC,90,3,F,12:30,13:20,Rachel Stuckey,TRUE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/ars/,ETC
ARS225,Introduction to Digital Art,LEC,91,3,W,9:00,9:50,Rachel Stuckey,TRUE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/ars/,ETC
ARS225,Introduction to Digital Art,LAB,90,3,F,13:21,15:20,Rachel Stuckey,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/ars/,ETC
ARS225,Introduction to Digital Art,LAB,91,3,W,9:51,11:50,Rachel Stuckey,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/ars/,ETC
ATM102,Weather and Climate,LEC,,3,F,12:30,15:20,Hoonyoung Park,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/atm/,ETC
BIO201,Organisms to Ecosystems,LEC,,3,TUTH,9:00,10:20,Claire Louise Dell,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/bio/,ETC
CAR210,Career Planning,SEM,,3,F,9:00,11:50,Mengyang Jia,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/car/,ETC
CHI111,Elementary Chinese I,LEC,90,4,MW,17:00,18:20,Mengyang Jia,TRUE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/chi/,ETC
CHI111,Elementary Chinese I,REC,90,4,RECM,18:30,19:25,Mengyang Jia,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/chi/,ETC
CHI111,Elementary Chinese I,LEC,91,4,TUTH,15:30,16:50,Mengyang Jia,TRUE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/chi/,ETC
CHI111,Elementary Chinese I,REC,91,4,RETU,17:00,17:55,Mengyang Jia,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/chi/,ETC
CHI111,Elementary Chinese I,LEC,92,4,TUTH,10:30,11:50,Mengyang Jia,TRUE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/chi/,ETC
CHI111,Elementary Chinese I,REC,92,4,RETH,9:30,10:25,Mengyang Jia,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/chi/,ETC
CHI112,Elementary Chinese II,LEC,90,4,MW,9:00,10:20,Mengyang Jia,TRUE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/chi/,ETC
CHI112,Elementary Chinese II,REC,90,4,RECM,10:30,11:25,Mengyang Jia,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/chi/,ETC
ECO108,Introduction to Economics,LEC,90,4,TUTH,17:00,18:20,Joung Hwa Choi,TRUE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/eco/,ETC
ECO108,Introduction to Economics,REC,90,4,RETH,15:30,16:25,Joung Hwa Choi,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/eco/,ETC
ECO108,Introduction to Economics,LEC,91,4,TU,9:30,12:20,Jong Seok Kim,TRUE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/eco/,ETC
ECO108,Introduction to Economics,REC,91,4,RETU,14:00,14:55,Jong Seok Kim,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/eco/,ETC
ESG281,Engineering Introduction to the Solid State,LEC,90,3,TUTH,9:00,10:20,Woong Moo Lee,TRUE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/esg/,ETC
ESG281,Engineering Introduction to the Solid State,REC,90,3,RETU,12:30,13:25,Woong Moo Lee,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/esg/,ETC
