holiday,date,title,contents
FALSE,2021-08-20,Rematriculation,Last day students can re-matriculate ($50) for the Fall 2021 semesters.
FALSE,2021-08-27,Convocation,3:00 PM
FALSE,2021-08-29,Semester Cancellation,Last day students can drop all classes via SOLAR.
FALSE,2021-08-30,Semester Start,First day of Monday classes
FALSE,2021-08-30,Late Registration,$50 fee if not enrolled in at least one class before semester start.
FALSE,2021-09-10,Late Registration Ends,"Last day to process enrollment changes (adds, swaps, credit changes) via SOLAR. Last day to drop or submit LOA/Term Withdrawal without a ""W"" (withdraw) recorded on transcript."
FALSE,2021-09-10,Ugrd. Students enrolling in Grad courses,Last day to petition to the Graduate School
TRUE,2021-09-20,Chuseok (Korean Thanksgiving),No classes in session
TRUE,2021-09-21,Chuseok (Korean Thanksgiving),No classes in session
TRUE,2021-09-22,Chuseok (Korean Thanksgiving),No classes in session
FALSE,2021-10-22,Graduation Application,Last day for Fall and Winter degree candidates to apply for graduation via SOLAR
FALSE,2021-10-29,Section/Credit Change Form, Last day to submit a Section/Credit Change Form. Changes must be processed by 4:00 PM. After this date petition is required and “W” (withdrawal) will be recorded on transcript
FALSE,2021-10-29,GPNC,Last day students can select Grade/Pass/No Credit (GPNC). Changes must be processed by 4:00 PM. Non- petitionable.
FALSE,2021-10-29,Course Withdrawal,"Last day students can process a withdrawal from individual course(s) via SOLAR. ""W"" (withdrawal) will be recorded on transcript. Changes must be processed by 4:00 pm"
FALSE,2021-12-08,LOA/Term Withdrawal,Last day to take a leave of absence or withdraw from the University. Students must submit the Semester Withdrawal Form
FALSE,2021-12-08,Classes End,Last day of classes
TRUE,2021-12-09,Reading Day,No classes in session
FALSE,2021-12-10,Finals,
FALSE,2021-12-11,Finals,
FALSE,2021-12-12,Finals,
FALSE,2021-12-13,Finals,
FALSE,2021-12-14,Finals,
FALSE,2021-12-15,Finals,
FALSE,2021-12-16,Finals,
FALSE,2021-12-16,Semester End,Official end of term
FALSE,2021-12-17,Commencement,3:00 PM
