major,name,title,type,credit,days,startTime,endTime,room,instructor,hasLab,link
EST,EST194,Decision-making,LEC,3,MW,5:00 PM,6:20 PM,online,Joseph Cabuay,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST202,"Intro to Sci, Tech,Soc Studies",LEC,3,TUTH,3:30 PM,4:50 PM,online,Anthony Pennings,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST204,Modern Digital Tech Innovation,LEC,3,MW,3:30 PM,4:50 PM,online,Maurice Bess,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST207,Interaction Design,LEC,3,TUTH,2:00 PM,3:20 PM,online,Neal Dreamson,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST230,ICT for Development,LEC,3,MW,5:00 PM,6:20 PM,online,Jin-sang Lee,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST240,Visual Rhetoric,LEC,3,TUTH,5:00 PM,6:20 PM,online,Anthony Pennings,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST304,Communication for Engr & Sci,LEC,3,TUTH,12:30 PM,1:50 PM,online,Joseph Cabuay,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST305,App Software for Info Mgt,LEC,3,MW,2:00 PM,3:20 PM,online,Clovia Hamilton,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST310,Design of Computer Games,LEC,3,MW,10:30 AM,11:50 AM,online,Maurice Bess,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST320,Communication Tech Systems,LEC,3,TUTH,3:30 PM,4:50 PM,online,Suzana Brown,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST325,Technology in the Workplace,LEC,3,MW,2:00 PM,3:20 PM,online,KYUNG KU KIM,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST326,Management for Engineers,LEC,3,TUTH,5:00 PM,6:20 PM,online,Joseph Cabuay,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST327,Marketing for Engineers,LEC,3,MW,2:00 PM,3:20 PM,online,Jang Lee,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST331,Engineering Ethics,LEC,3,MW,9:00 AM,10:20 AM,online,Clovia Hamilton,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST364,How to Build a Startup,LEC,3,TUTH,9:00 AM,10:20 AM,online,Suzana Brown,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST371,Data Sci Management,LEC,3,TUTH,2:00 PM,3:20 PM,online,Sira Maliphol,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST372,Mobile Revolution,LEC,3,TUTH,3:30 PM,4:50 PM,online,Jin-sang Lee,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST391,Technology Assessment,LEC,3,TUTH,10:30 AM,11:50 AM,online,Mark Whitaker,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST392,Engineering Economics,LEC,3,TUTH,12:30 PM,1:50 PM,online,Anthony Pennings,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST393,Project Management,LEC,3,MW,10:30 AM,11:50 AM,online,Jang Lee,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST440,Interdis Rsch Methods,LEC,3,TUTH,10:30 AM,11:50 AM,online,Sira Maliphol,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
EST,EST441,Interdis Senior Project,LEC,3,TUTH,10:30 AM,11:50 AM,online,Neal Dreamson,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/est/
